iter	Logloss
0	0.6915486805
1	0.6897939491
2	0.6881014451
3	0.686669451
4	0.6849066647
5	0.6831515459
6	0.6815503176
7	0.6797253349
8	0.6779897779
9	0.6761406291
10	0.6748352056
11	0.6734612066
12	0.6720532624
13	0.6703516387
14	0.6687444523
15	0.6670586098
16	0.665377745
17	0.6640739136
18	0.6623558104
19	0.6608933093
20	0.6593822291
21	0.6577363848
22	0.6560948534
23	0.654630594
24	0.6531674355
25	0.6516834036
26	0.6502611832
27	0.6486521147
28	0.6470513131
29	0.6459853305
30	0.6449193649
31	0.6433346073
32	0.6417957842
33	0.6404211919
34	0.6388533782
35	0.6374571543
36	0.6360802551
37	0.634623932
38	0.6332569193
39	0.6319864328
40	0.6306161533
41	0.6287467927
42	0.6273899682
43	0.6258742753
44	0.6246560628
45	0.6231539952
46	0.6216875329
47	0.6204053788
48	0.6188181674
49	0.6175141966
50	0.6162308171
51	0.6150208804
52	0.6138142553
53	0.6123564513
54	0.6111118659
55	0.6098212408
56	0.6086334941
57	0.6073655046
58	0.6060639712
59	0.6047832796
60	0.6042376608
61	0.6028372092
62	0.601442056
63	0.6002373497
64	0.5989629385
65	0.5977652797
66	0.5964745652
67	0.5953487768
68	0.594206458
69	0.5930796138
70	0.5916557184
71	0.5903747664
72	0.5890084874
73	0.5877759187
74	0.5866971612
75	0.5855894103
76	0.5844080235
77	0.5830814015
78	0.5818663608
79	0.5807020224
80	0.5793804541
81	0.5782255701
82	0.5770041602
83	0.5756992911
84	0.5745479025
85	0.5734641098
86	0.5723275869
87	0.5710425604
88	0.5699263641
89	0.5682037742
90	0.5670648373
91	0.5660313567
92	0.5649945225
93	0.5637818319
94	0.562571605
95	0.5612989309
96	0.5600248235
97	0.5590216688
98	0.5576852872
99	0.5565362417
100	0.5554384234
101	0.5542193112
102	0.5529604625
103	0.551698249
104	0.5506221837
105	0.5495888633
106	0.5485476951
107	0.5473957913
108	0.5462878829
109	0.5452798193
110	0.5442485653
111	0.5431756973
112	0.5422470939
113	0.5412368278
114	0.5400386566
115	0.5386193352
116	0.5376207332
117	0.5364740661
118	0.535336073
119	0.5344098892
120	0.5333070145
121	0.5321811012
122	0.5310807512
123	0.5299288716
124	0.5286768959
125	0.5279644103
126	0.5269943178
127	0.5260504598
128	0.5250896443
129	0.5239262127
130	0.5228375452
131	0.521787862
132	0.5207092336
133	0.5199557798
134	0.5189043539
135	0.517955184
136	0.5169265895
137	0.5158005328
138	0.5148898959
139	0.5140916166
140	0.5130813548
141	0.5121673601
142	0.5112010922
143	0.5101646554
144	0.5091335717
145	0.5080524484
146	0.5070282334
147	0.5059323112
148	0.5049927462
149	0.5040131325
150	0.5028732646
151	0.5020910303
152	0.5008628993
153	0.4998864673
154	0.4988877944
155	0.4979678478
156	0.497078924
157	0.4961710146
158	0.4950846121
159	0.4942181025
160	0.4933523394
161	0.4925532284
162	0.4915692324
163	0.4905680532
164	0.4896096899
165	0.4885955595
166	0.4876520974
167	0.4866038703
168	0.4857326207
169	0.4848571306
170	0.4839444331
171	0.4829590803
172	0.4820248854
173	0.4813018044
174	0.480564265
175	0.4793311045
176	0.4783396125
177	0.4775375355
178	0.4766482768
179	0.4756949714
180	0.4744818438
181	0.4736113889
182	0.4727089093
183	0.4719241063
184	0.4709911545
185	0.4702690159
186	0.4694099455
187	0.4686373359
188	0.4679739873
189	0.4671399168
190	0.466364764
191	0.4655220083
192	0.4646840663
193	0.4639710018
194	0.4631084743
195	0.4623772417
196	0.4615234222
197	0.460739096
198	0.4598789045
199	0.4589985127
200	0.4581583398
201	0.4573949604
202	0.4565902182
203	0.4555999041
204	0.4548887355
205	0.4541229662
206	0.4531428161
207	0.4528770418
208	0.451903891
209	0.4510909177
210	0.4501174745
211	0.4494001667
212	0.4485445363
213	0.4477419371
214	0.4470804107
215	0.4462683541
216	0.445573381
217	0.4447835627
218	0.4439968211
219	0.4431505515
220	0.4424421929
221	0.4414897249
222	0.440601593
223	0.4394969685
224	0.4386642859
225	0.4380066253
226	0.4373408584
227	0.4363384559
228	0.4355821269
229	0.4350228565
230	0.4347791161
231	0.4339671788
232	0.4333597308
233	0.4327093476
234	0.4319904361
235	0.4313761166
236	0.4306382849
237	0.4296618161
238	0.4289393226
239	0.4280232844
240	0.4271565165
241	0.4265047681
242	0.4256452748
243	0.4249560379
244	0.4242836123
245	0.4237168545
246	0.423003665
247	0.4221820491
248	0.421450439
249	0.4206536128
250	0.4197844522
251	0.4189773174
252	0.4182806072
253	0.4175987527
254	0.4167685111
255	0.4161660302
256	0.4154773099
257	0.4147913002
258	0.4140760501
259	0.4134700412
260	0.4126483429
261	0.4116743093
262	0.4108866084
263	0.4099921414
264	0.4093240982
265	0.4087759001
266	0.4082507519
267	0.4077542708
268	0.4068652789
269	0.4061041361
270	0.4053483974
271	0.404577593
272	0.4039279364
273	0.4032632113
274	0.402376331
275	0.4015053567
276	0.4009600367
277	0.4003241176
278	0.3995577807
279	0.39890379
280	0.3980956503
281	0.3975195828
282	0.3969160886
283	0.3962188079
284	0.3956787785
285	0.3953665012
286	0.39477031
287	0.3941871155
